1810,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
5610,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
5613,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
21810,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6802,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
6006,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
3201,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
21814,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
21830,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6606,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
5802,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
3203,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
3407,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
3409,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
2009,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
6403,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
403,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
3205,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
21404,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
1403,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
5401,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
205,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
6008,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6410,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
21602,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
21831,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
5803,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6412,Vendido,15,XZ-9,Darkstar,Tabla de patineta,Skateboard,37000.0
21405,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
6013,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
5804,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6202,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
6607,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6610,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
6611,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
5404,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
21604,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
9,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5408,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
6211,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
21408,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
6019,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6804,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
21410,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
3209,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
2014,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
6024,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
21605,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
2017,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
1603,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
2021,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
3211,Vendido,8,HT-9,Crocs,Chancletas de hule unisex,Chancletas,16000.0
5412,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
2022,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
21411,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
13,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6807,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
14,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
6811,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
6812,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
6815,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
6816,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
5614,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
6613,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
15,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5620,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
3412,Vendido,9,KU-5,Element,Tabla de patineta,Skateboard,15000.0
1811,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
1405,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
5414,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
5418,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
1812,Vendido,6,SQ-6,Vans,Tenis para skater,Tenis,7000.0
5805,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
21415,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
21607,Vendido,19,OW-5,Spitfire,Incluye las cuatro ruedas necesarias,Ruedas para Skate,29500.0
5424,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
19,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5427,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
408,Vendido,3,FR-8,Lacoste,Blusa polo para mujer,Blusa,15000.0
6214,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
6215,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
1608,Vendido,5,QW-3,Totto,Bulto unisex,Bulto,18000.0
2024,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
5807,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
5431,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
2027,Vendido,7,QC-8,Quicksilver,Sandalias de playa para hombre,Sandalias,13000.0
5809,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
5811,Vendido,12,RT-6,Cliche,Tabla de patineta,Skateboard,24500.0
6027,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6217,Vendido,14,NB-2,Primitive,Tabla de patineta,Skateboard,35000.0
5621,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
206,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
22,Vendido,1,DR-7,Adidas,Camisa casual para hombre,Camisa,7000.0
5433,Vendido,10,PO-2,Plan B,Tabla de patineta,Skateboard,18000.0
1406,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
6822,Vendido,17,FV-7,Blind,Tabla de patineta,Skateboard,49500.0
1407,Vendido,4,LP-2,Shut,Tenis casuales para mujer,Tenis,5000.0
21841,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6614,Vendido,16,ZX-3,Alien wokshop,Tabla de patineta,Skateboard,26750.0
5622,Vendido,11,TH-5,Toy machine,Tabla de patineta,Skateboard,23000.0
21844,Vendido,20,BQ-4,Jigsaw,Máximo agarre para realizar cualquier truco sin desgastar tus zapatillas,Lija Skate,12000.0
6028,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
6029,Vendido,13,JA-1,Almost,Tabla de patineta,Skateboard,31000.0
21417,Vendido,18,LV-4,VENOM,Trucks de aluminio ultra ligero,Trucks para Skate,17500.0
207,Vendido,2,JY-2,Nike,Pantalon de playa para hombre,Pantalon,12000.0
